article_length,num_sentences,avg_word_length,unique_entries,num_relations,relation_density,relation_density_per_sentence,precision,recall,f1,support
2243,20,4.762162162162162,7,5,0.002229157378510923,0.25,0.0,0.0,0.0,7.0
1137,11,5.050561797752809,9,6,0.005277044854881266,0.5454545454545454,0.0,0.0,0.0,8.0
2275,16,4.864130434782608,7,14,0.006153846153846154,0.875,0.0,0.0,0.0,16.0
904,6,5.4411764705882355,6,7,0.007743362831858407,1.1666666666666667,0.0,0.0,0.0,9.0
716,5,4.913043478260869,5,4,0.00558659217877095,0.8,0.13333333333333333,0.2,0.16,5.0
1069,12,5.538961038961039,11,10,0.009354536950420954,0.8333333333333334,0.0,0.0,0.0,15.0
724,5,4.884955752212389,5,7,0.009668508287292817,1.4,0.0,0.0,0.0,9.0
659,5,4.558558558558558,10,12,0.018209408194233688,2.4,0.0,0.0,0.0,14.0
904,6,5.242857142857143,10,12,0.01327433628318584,2.0,0.0,0.0,0.0,14.0
1636,10,5.1857707509881426,11,12,0.007334963325183374,1.2,0.0,0.0,0.0,15.0
1544,13,4.52808988764045,6,5,0.003238341968911917,0.38461538461538464,0.0,0.0,0.0,7.0
866,3,4.935714285714286,18,33,0.03810623556581986,11.0,0.0,0.0,0.0,34.0
870,9,5.287878787878788,9,9,0.010344827586206896,1.0,0.0,0.0,0.0,10.0
739,6,4.948275862068965,10,9,0.012178619756427604,1.5,0.0,0.0,0.0,14.0
747,7,4.766666666666667,7,6,0.008032128514056224,0.8571428571428571,0.0,0.0,0.0,9.0
948,8,4.947368421052632,12,12,0.012658227848101266,1.5,0.0,0.0,0.0,15.0
796,5,5.05,5,4,0.005025125628140704,0.8,0.0,0.0,0.0,7.0
928,7,4.986301369863014,6,7,0.007543103448275862,1.0,0.0,0.0,0.0,8.0
1094,10,4.185929648241206,12,14,0.012797074954296161,1.4,0.0,0.0,0.0,15.0
806,10,5.008,8,17,0.02109181141439206,1.7,0.12962962962962962,0.05555555555555555,0.07777777777777778,18.0
1365,9,4.747787610619469,12,15,0.01098901098901099,1.6666666666666667,0.0,0.0,0.0,17.0
886,7,5.246268656716418,15,28,0.03160270880361174,4.0,0.3095238095238095,0.07142857142857142,0.11607142857142858,28.0
835,11,4.661870503597123,8,11,0.013173652694610778,1.0,0.05333333333333334,0.06666666666666667,0.059259259259259255,15.0
920,7,5.357664233576642,7,9,0.009782608695652175,1.2857142857142858,0.0,0.0,0.0,11.0
967,9,4.882352941176471,11,8,0.008273009307135471,0.8888888888888888,0.0,0.0,0.0,10.0
1051,6,4.7542857142857144,2,1,0.0009514747859181732,0.16666666666666666,0.0,0.0,0.0,4.0
646,7,4.4774774774774775,6,6,0.009287925696594427,0.8571428571428571,0.0,0.0,0.0,7.0
793,6,4.75,6,7,0.008827238335435058,1.1666666666666667,0.0,0.0,0.0,7.0
1900,8,5.398576512455516,13,26,0.01368421052631579,3.25,0.0,0.0,0.0,27.0
1124,6,5.761006289308176,15,23,0.020462633451957295,3.8333333333333335,0.6086956521739131,0.13043478260869565,0.21483375959079284,23.0
911,9,5.201438848920863,8,16,0.01756311745334797,1.7777777777777777,0.0,0.0,0.0,19.0
1422,8,5.464114832535885,11,16,0.011251758087201125,2.0,0.0,0.0,0.0,18.0
1389,8,5.509803921568627,8,20,0.014398848092152628,2.5,0.35,0.1,0.15555555555555553,20.0
1048,10,4.832369942196531,13,23,0.02194656488549618,2.3,0.0,0.0,0.0,25.0
678,5,4.418803418803419,9,6,0.008849557522123894,1.2,0.0,0.0,0.0,9.0
1319,15,5.067961165048544,7,6,0.004548900682335102,0.4,0.0,0.0,0.0,8.0
940,5,4.496598639455782,9,9,0.009574468085106383,1.8,0.0,0.0,0.0,13.0
1027,19,5.146496815286624,4,9,0.008763388510223954,0.47368421052631576,0.0,0.0,0.0,10.0
846,9,4.605633802816901,8,17,0.02009456264775414,1.8888888888888888,0.35294117647058826,0.058823529411764705,0.10084033613445377,17.0
1362,7,4.954337899543379,8,5,0.003671071953010279,0.7142857142857143,0.0,0.0,0.0,7.0
